Entry ID,Total Number of Polymer Instances (Chains),Resolution (Å),Entity Polymer Type,Total Number of polymer Entity Instances (Chains) per Entity,
"1AB9",4,"1.6","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1BBR",10,"2.3","Protein",3
,,,"Protein",1
,,,"Protein",1
,,,"Protein",3
,,,"Protein",2
"1BHX",4,"2.3","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1C51",8,"4","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1DEQ",14,"3.5","Protein",4
,,,"Protein",4
,,,"Protein",4
,,,"Protein",2
"1FE1",18,"3.8","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1FPH",4,"2.5","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1FZB",8,"2.9","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1FZC",10,"2.3","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1FZF",10,"2.7","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",4
"1FZG",10,"2.5","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",4
"1G0U",28,"2.4","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1G65",30,"2.25","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1GCT",4,"1.6","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1GHA",4,"2.2","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1GHB",4,"2","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1GL2",4,"1.9","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1GMC",4,"2.2","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1GMD",4,"2.2","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1ILX",18,"3.8","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1IRU",28,"2.75","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1JD2",30,"3","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1JNV",8,"4.4","Protein",3
,,,"Protein",3
,,,"Protein",1
,,,"Protein",1
"1KIL",5,"2.3","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1L4A",5,"2.95","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1LOF",4,"2.3","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1LTJ",10,"2.8","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1LWU",16,"2.8","Protein",4
,,,"Protein",4
,,,"Protein",4
,,,"Protein",4
"1M1J",10,"2.7","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1N0W",4,"1.7","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1N73",10,"2.9","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",4
"1N7S",4,"1.45","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1N86",10,"3.2","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1NRS",4,"2.4","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1NY2",4,"2.3","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1OED",5,"4, 4","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",2
"1PYH",34,"4.8","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",16
,,,"Protein",15
"1QZV",32,"4.44","Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
,,,"Protein",2
"1R42",5,"2.2","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
"1R4L",5,"3","Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
,,,"Protein",1
